"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1201,1500,".","*",-0.143623139681222,0.744551507818606,0.997195798956344,-0.105757609097009,0.80941729471014,0.947465726471257,-0.211576246103168,0.626882468531108,0.954544054469777,-0.332819535815922,0.46773090216866,0.709711588366529
"CM002236.1",1501,1800,".","*",0.500331520862327,0.223214968620476,0.997195798956344,0.113657766388283,0.774828695090371,0.937072256421418,0.361741419074704,0.364808559610459,0.861977876091053,0.563315727584824,0.191189033995301,0.510702616198854
"CM002236.1",1801,2100,".","*",-0.116052677603724,0.788943213505489,0.997195798956344,-0.374269696874032,0.381599912273923,0.781001478573667,-0.031363557421216,0.940517420689983,0.986291824046509,0.118063140094018,0.794677965195188,0.897470905598382
"CM002236.1",2101,2400,".","*",-0.230078456037512,0.603376286728971,0.997195798956344,0.22578228808315,0.604478321691786,0.865234755246805,-0.492474827083856,0.262406379785344,0.79020615794366,0.182448701212944,0.69179904566225,0.844288232624632
"CM002236.1",2401,2700,".","*",-0.298160503839317,0.474523745443956,0.997195798956344,-0.326535126698505,0.432704992657212,0.801291972007894,-1.18246632062873,0.00496337780434498,0.187580133750375,-0.646994438203573,0.138088824793485,0.465690454623517
"CM002236.1",2701,3000,".","*",-0.0390201185721917,0.929470504905689,0.997195798956344,-0.283844112465966,0.517989634885843,0.830998836280265,0.13408785491472,0.758981752779155,0.965318404797539,0.0563936398778404,0.900758528891068,0.945051044703653
"CM002236.1",3001,3300,".","*",0.383869816722397,0.406053841110544,0.997195798956344,-0.12203935291254,0.793688117111632,0.940977351327542,0.676372925703672,0.133323759892457,0.671117894852256,-0.63900524929134,0.188415946953356,0.509758217230203
"CM002236.1",3301,3600,".","*",0.483733795286653,0.258499247971472,0.997195798956344,-0.0732608703122632,0.861335454260013,0.962097078597836,0.563721147490044,0.174233153856588,0.706953446167642,-0.0393134713982685,0.930515005797637,0.96259446576006
"CM002236.1",3601,3900,".","*",-0.42171588236998,0.314109903967661,0.997195798956344,-0.104928914044782,0.801335956946948,0.94413856624682,0.0637284603366258,0.878424072045925,0.976262806275918,-0.694964455313533,0.116201543363091,0.450507298373076
"CM002236.1",3901,4200,".","*",-0.37296550121578,0.373606783835572,0.997195798956344,-0.341802902424568,0.408624352335895,0.791572606449459,-0.17098399173979,0.683525775167215,0.959431722484197,-0.554111235547362,0.208758029975216,0.525178687417711
"CM002236.1",4201,4500,".","*",-0.513722424261559,0.22918250889976,0.997195798956344,-0.422724140283531,0.316106195375562,0.746973797175962,-0.380025790533449,0.371571390080316,0.866978735707685,-0.03501458975032,0.940489375322209,0.966152880707002
"CM002236.1",4501,4800,".","*",-0.451566140469653,0.271988026465459,0.997195798956344,-0.370558771383488,0.3640133810784,0.768592429901155,-0.424336766026742,0.293882237656636,0.812734936544065,-0.512321840904173,0.227724160124465,0.538910872206405
"CM002236.1",4801,5100,".","*",-0.0815577973588971,0.856617612133258,0.997195798956344,0.449622636396008,0.315885133687738,0.746973797175962,-0.0260826082367877,0.953356160152055,0.991671782284206,0.113665644643196,0.80776770557121,0.902241048051193
"CM002236.1",5101,5400,".","*",0.0708125320631488,0.888567130730285,0.997195798956344,-0.353242547404892,0.478267013192565,0.819939192027108,-0.386129751887888,0.437191903062735,0.904559985377171,-0.552193496084095,0.287574538812975,0.588330698207648
"CM002236.1",5401,5700,".","*",0.414584478646558,0.387399355922454,0.997195798956344,0.010430435103837,0.98248240155135,0.996355827320083,0.195862908604478,0.678269635034159,0.959103870104192,0.380998068490044,0.442396933718107,0.690593928652035
"CM002236.1",5701,6000,".","*",-0.850713404497154,0.0529829575398489,0.984148775945478,-0.784093479689412,0.0711921989541824,0.482368607433691,-0.140523315565608,0.746640982708497,0.964670656035229,-0.385734417613219,0.395325192378913,0.65797275169915
"CM002236.1",6001,6300,".","*",-0.240563986063756,0.588548716723711,0.997195798956344,0.0528200275026726,0.903819119179318,0.976167707955743,-0.0186441741553488,0.966124333684696,0.992038975011938,0.200397027358031,0.664097682711331,0.828890353874602
"CM002236.1",15001,15300,".","*",-0.301947147290728,0.493855366182563,0.997195798956344,0.0723793732029907,0.868646611088723,0.966862257333037,0.60863181873805,0.165374140539574,0.69875106658945,0.570024809050862,0.214553310585889,0.527815624579685
"CM002236.1",15301,15600,".","*",-0.147163456911698,0.747444507472609,0.997195798956344,-0.471063606817716,0.298486845282997,0.733726261218008,-0.0943693923532582,0.834201369411722,0.974051465511712,0.446437581624683,0.344168609775256,0.628576120666549
"CM002236.1",15601,15900,".","*",-0.282023146684483,0.525207416268411,0.997195798956344,-0.418580644333898,0.335355278602661,0.758228580171455,-0.123639060914065,0.777068981408838,0.967001642992183,-0.306423675399309,0.498497658677004,0.728509441715073
"CM002236.1",15901,16200,".","*",-0.0269294828234275,0.951263446173374,0.997195798956344,-0.155679778902014,0.72156399153747,0.913169521254092,0.17217980569273,0.692164754167725,0.959944848283883,0.325706025571903,0.476376705782196,0.714113766665152
"CM002236.1",16201,16500,".","*",0.572622545437367,0.186135059739165,0.997195798956344,0.29199008185662,0.492537450909091,0.823531655304421,0.145676961212508,0.732759915477844,0.961592141101157,-0.883430525447944,0.0487261578819022,0.365106132814647
"CM002236.1",16501,16800,".","*",0.300656736415014,0.495507738907794,0.997195798956344,0.725405009083895,0.0942239557139528,0.527659181791417,-0.111575086671474,0.797573949131697,0.968536381393911,-0.758843745585918,0.0978769408001346,0.426151090762767
"CM002236.1",16801,17100,".","*",0.267919186055193,0.528889935811547,0.997195798956344,0.229614019667816,0.586524207014123,0.857596864516604,-0.168870157381627,0.690630437194957,0.959944848283883,0.0099275479951682,0.981649984270672,0.989568340908025
"CM002236.1",17101,17400,".","*",-0.456420925810902,0.452788884779699,0.997195798956344,-0.131642593817499,0.825831536038269,0.95441251864717,-1.3561957115681,0.0328744633749874,0.459935882237218,-0.321482635441016,0.603099221951178,0.795763498284902
"CM002236.1",17401,17700,".","*",-0.0101490364528591,0.980879122870385,0.997796880557332,0.340660753537069,0.419181173953051,0.794754423437644,0.0446774498986523,0.915498525830106,0.980277032626233,-0.228462754364612,0.602152659664366,0.795685772595059
"CM002236.1",17701,18000,".","*",-0.636507562356768,0.133856888328726,0.997195798956344,-0.309606866875936,0.460905898492683,0.813337869855135,-0.734115685073905,0.0810264715968856,0.604794857960372,0.282612939197423,0.517317435301068,0.739472610091436
"CM002236.1",18001,18300,".","*",-0.140780116954137,0.740837891296302,0.997195798956344,0.307498187202576,0.463783909864335,0.813337869855135,-0.0710376843408151,0.865682965573457,0.976262806275918,0.683139948725376,0.122520609671959,0.457283248536875
"CM002236.1",18301,18600,".","*",-0.408378254035334,0.382893021870746,0.997195798956344,-0.675701961862863,0.143479952180613,0.589174655698138,-1.05885304659863,0.0238986542053114,0.405165556178419,-0.424433479068053,0.383464954626698,0.65299026196261
"CM002236.1",18601,18900,".","*",-0.14347318479522,0.744067733624007,0.997195798956344,-0.129110641520528,0.769387295621061,0.93480556417959,-0.679805853313233,0.120673327814015,0.655437151734081,-0.167905511817426,0.718476687118028,0.858873197445819
"CM002236.1",18901,19200,".","*",-0.406914740241932,0.339925989379978,0.997195798956344,-0.501050569732353,0.238033042989293,0.689053835342661,-0.467900796517393,0.270629832827281,0.79020615794366,-0.392457672658911,0.376431850793946,0.649283960824825
"CM002236.1",19201,19500,".","*",0.136858378731707,0.744530100950191,0.997195798956344,0.414086842208745,0.317474117277666,0.747913956127052,0.532482486773145,0.203729433036465,0.742314002214329,0.864194747454895,0.0486027612293772,0.365106132814647
"CM002236.1",34201,34500,".","*",-0.215314356374419,0.634776522121329,0.997195798956344,-0.442077646566152,0.322227060400355,0.749310098566061,-0.663426704512481,0.138843340028723,0.672476504900061,-0.39407445381141,0.391319006408595,0.655993656511222
"CM002236.1",34501,34800,".","*",0.0290187050377546,0.948644840346271,0.997195798956344,-0.45195825304002,0.30865361831176,0.740110977058496,-0.509673550021118,0.248905432512425,0.79020615794366,-0.188837279751988,0.680766602616659,0.83901750347852
"CM002236.1",34801,35100,".","*",0.00706279896707846,0.987487726952287,0.997796880557332,0.221804291896671,0.61529211358011,0.868251744790756,0.217295503152135,0.623917401342708,0.954544054469777,-0.258686141483097,0.577640836820188,0.783199324318507
"CM002236.1",35101,35400,".","*",-0.168537630061565,0.768263170024855,0.997195798956344,-0.368899529311829,0.516280993972925,0.830998836280265,-0.25791332287514,0.648794205909891,0.95733197112607,-0.681411160487815,0.250929686209986,0.558888843984671
"CM002236.1",35401,35700,".","*",0.429760889091533,0.331040876928414,0.997195798956344,0.0199614249451117,0.963612356717237,0.993492963915166,0.364386707218014,0.406258171197147,0.885829133009133,0.232863707610581,0.606971758022274,0.797577370733143
