"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1201,1500,".","*",-0.143339083713796,0.744808457753773,0.995379255485544,-0.105779600679931,0.809196842088616,0.948807670747761,-0.211489433324385,0.626633381778436,0.961017132152134,-0.332938184232728,0.467071848443912,0.733024294694768
"CM002236.1",1501,1800,".","*",0.499917611697365,0.216430643519635,0.995379255485544,0.113422352665605,0.771827953065801,0.941281771910094,0.36195912823733,0.356925166182976,0.890446325158269,0.564118551030103,0.18366037201402,0.538182294532501
"CM002236.1",1801,2100,".","*",-0.116267363766228,0.784822715095397,0.995379255485544,-0.374779830285228,0.372207836187577,0.813623950170299,-0.0310796969211886,0.939966629923579,0.987025813812718,0.118899943535821,0.789583217103175,0.904494886317275
"CM002236.1",2101,2400,".","*",-0.229875574879604,0.602240295891764,0.995379255485544,0.225575674239511,0.603270197852903,0.882065139048145,-0.492474620167988,0.260308983246706,0.829967101557623,0.182318570566512,0.690793368212606,0.853147342569173
"CM002236.1",2401,2700,".","*",-0.298385949104468,0.47845601978404,0.995379255485544,-0.326684031687379,0.436911560362071,0.837817374111935,-1.18215233735149,0.00531628825542802,0.219229310600956,-0.64660681342432,0.141965284904581,0.506775647729646
"CM002236.1",3301,3600,".","*",0.483270342977018,0.263993832041592,0.995379255485544,-0.0732871419701774,0.862741219890856,0.966413162060061,0.563957038654639,0.178349310858892,0.760443485299901,-0.0390262123513646,0.931771707109248,0.961872285498887
"CM002236.1",3601,3900,".","*",-0.421840985757021,0.321340995545473,0.995379255485544,-0.105241326657502,0.803749999750595,0.946984866534236,0.0637450784124391,0.880243542161192,0.976131512341923,-0.69446027789475,0.121983325701745,0.501566130971785
"CM002236.1",3901,4200,".","*",-0.372472498060312,0.383192187231764,0.995379255485544,-0.342172414848383,0.416827852513464,0.828022197634742,-0.17098022990072,0.689157808615296,0.961017132152134,-0.554118403106944,0.217262646163518,0.562949969451416
"CM002236.1",4201,4500,".","*",-0.513580921060488,0.233482765399452,0.995379255485544,-0.42297433344175,0.320119126624166,0.787029564771305,-0.379630576906795,0.376400213959443,0.903090531044321,-0.0345418297896333,0.94187645797578,0.964878072528452
"CM002236.1",4501,4800,".","*",-0.452042300118633,0.279447333188933,0.995379255485544,-0.370752845653164,0.37171383991441,0.813623950170299,-0.42411801714286,0.302035484866869,0.846406505662857,-0.512135179283701,0.235504410505003,0.578225238550656
