"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1150,2878,".","-",-0.801779616821597,0.00129946445101397,0.00177584653081543,-0.479943695702221,0.0381481952925627,0.052027315124613,-0.158803694469429,0.482877406545796,0.533790345621464,-1.01151238170474,3.64382936691573e-05,0.000178467847094924,-0.750077554072498,0.00485435195842109,0.00656707694375111,-0.726422023778257,0.00410932137261441,0.00818206124933018
"CM002236.1",3177,6443,".","+",0.0422072995141373,0.86789599724325,0.874411732958289,0.366362204606258,0.140956163778948,0.171343452709555,0.423592261262207,0.0880694122242634,0.114969991444515,0.425837929156425,0.0870505695122374,0.126430589053488,0.099742225967579,0.720152918030702,0.743419396920925,0.62465255029437,0.0234678335067214,0.0334329432760299
"CM002236.1",15929,16647,".","+",-1.34115167908643,0.000157800318215125,0.00025951964098615,-1.05294955196548,0.000891716568960546,0.00178609497842545,-1.11709195974896,0.000410710143135505,0.000931035493391634,-1.83923652286737,1.73989707187296e-07,3.60927182183114e-06,-3.33612220100563,4.50348987973197e-12,3.02184170930015e-09,-1.31165808949727,0.000122447702705714,0.000838391923627896
"CM002236.1",17440,19615,".","+",-0.393314235354185,0.169695719065518,0.185449230444564,-0.404236587705378,0.14502216195697,0.175333100311941,-0.244177827992938,0.375276034621845,0.424637806460806,-0.42770779375072,0.125938005717204,0.175320335759842,-0.118878646298494,0.698474607367441,0.723266144357335,-1.05449047640023,0.000727325264786097,0.00241601610233402
"CM002236.1",34980,39245,".","+",0.80773762370448,0.000948722179188256,0.00132623454632358,0.465388404009427,0.0525321817419472,0.0692516580527437,0.619516104805232,0.0100545117353196,0.0162960806144915,0.484742522143675,0.0438731817825511,0.0697604383319711,0.825063073559017,0.00239834349494477,0.00331129317923444,-0.367385769675954,0.166137949023941,0.197657028005433
"CM002236.1",40949,42632,".","-",0.933076752460744,0.000768583577217907,0.00109031623744866,-0.337459504928443,0.221363265947263,0.257425912392745,-0.389495702631916,0.158278175822859,0.195324103325294,0.0889547247784234,0.743267586247995,0.774224204090952,0.597665342877167,0.0526484572196789,0.0631969853209383,-0.539113526888949,0.0750809857660546,0.0957782156825526
"CM002236.1",43708,44551,".","-",1.00972040718357,0.000294728378339797,0.000456726886526568,0.2692327469151,0.320787452862226,0.359346211803929,0.0707545690345133,0.794307356641356,0.830187283966277,0.17334074216113,0.526015229133017,0.593203728988662,0.943702732447706,0.00271047175479029,0.00372689866283665,-1.3752757477694,2.505970125668e-05,0.000366825062067082
"CM002236.1",45331,48154,".","-",0.783742536166956,0.00308748432875819,0.00405421132015018,0.521465181713589,0.0451747417008791,0.0608679752636343,0.589452046761588,0.0233587857924649,0.0347533154473258,0.696939253501422,0.00767823341351048,0.0158039712284219,0.685749788562267,0.0198488188581143,0.0247556829996184,-0.148913987859823,0.603153378028471,0.641388140502543
"CM002236.1",59145,61150,".","+",0.0610725705659409,0.817654720538533,0.82752084084669,-0.0165074401630679,0.948934401509766,0.953196082953673,0.0454729295832397,0.859597751253164,0.887369370909035,0.097767275034474,0.705084788911511,0.744158567403892,0.210943474689851,0.469970240665715,0.498183304086406,-0.27557179720175,0.330362943306763,0.3688411563375
"CM002236.1",91323,92593,".","+",1.24320809358824,9.16966828361798e-06,2.19744550653845e-05,1.00029542315766,0.000254553526140693,0.000605286803293679,0.917752988031871,0.00071274880686404,0.00149923024892091,0.640868832232553,0.0182558532455083,0.0331844550639533,1.24706939519272,8.65973568857416e-05,0.00015789898497373,-1.22396657290361,0.000116683618573904,0.000815569875657184
"CM002236.1",181222,181975,".","+",1.03971029768199,0.000511647967803288,0.000744719710186565,0.814435623318503,0.00540682301217993,0.0088057724300309,0.554816542256705,0.0527773157660534,0.0722726099571874,0.675058876767556,0.0212782352181448,0.0374996173701015,1.03135351508469,0.00203902688398847,0.00283856232190096,-0.97083803348479,0.00396184294933502,0.00793551229553373
"CM002236.1",182427,185051,".","-",1.06986351591598,9.37883525935178e-05,0.000158518852872167,0.70687738530808,0.00838964568074897,0.0131837289268912,0.71582152284342,0.00746652071510836,0.0125564796988414,0.568819820630799,0.0335021529678587,0.0546957290545819,1.36679036427782,1.29276848158104e-05,3.16586733993022e-05,-0.880891471317235,0.00368811353322156,0.00757296005160282
"CM002236.1",186039,188208,".","+",0.817898824533259,0.00158529297496121,0.00215767056024133,0.339511414621861,0.179584649468328,0.213276636802209,0.289684887425424,0.251360088932055,0.295899332760367,-0.135316618272875,0.598561728560999,0.65519562783757,0.94229508503221,0.00121863992104548,0.00175097941546364,-0.476779206529987,0.0908089486202243,0.114106375513428
"CM002236.1",188530,189595,".","-",1.08149453173181,0.000141364135047464,0.000234210702757651,0.571458287112736,0.0377846093825086,0.051741781419721,0.490481693947914,0.073166216638079,0.0972168937903981,0.29325231393372,0.292074190607016,0.356979566297464,1.51997113885079,3.54642215538118e-06,1.14398955062717e-05,-1.02529090898403,0.00133026007251282,0.00357826970348347
"CM002236.1",190406,191138,".","+",0.928381547270376,0.00122025650420326,0.00167676502114348,-0.220365869788338,0.433879097387031,0.471088793441258,-0.300025519938761,0.286727057747191,0.330043326516855,-0.997328913985796,0.00101455706210157,0.00287243792687828,0.88402926008336,0.00652418785611139,0.00870324065894779,-1.08974316541129,0.000791679544073722,0.0025336425138228
"CM002236.1",193143,194064,".","-",-0.47404064170942,0.12107944609557,0.134510444255178,-1.15076343504631,0.000178363814994676,0.000458552183377117,-1.33158360661615,1.99105672943786e-05,9.40655642031787e-05,-1.68993018023643,4.29038534174187e-07,6.69499666118324e-06,-1.22028164652975,0.000880185084783855,0.00129235052929971,-1.25424495170764,0.000148990011127117,0.000943134881757505
"CM002236.1",195020,195335,".","-",-0.0854172426966257,0.822688052157043,0.831360968369542,-0.83054233886555,0.0247504551062342,0.0352602024974165,-1.2719293514813,0.000864555293992599,0.00175792909778495,-1.43001810451273,0.000403476020679277,0.00134025945483067,-0.102721358975037,0.808400120044402,0.82688487888688,-1.129344473992,0.00493045715758503,0.00942546083401582
"CM002236.1",195780,196290,".","-",0.59058481847321,0.0708564516483794,0.08141212167134,-1.13669086034859,0.000877366318085848,0.00176790630461142,-1.26384627839475,0.000302998965846116,0.000736638790154868,-1.6413747958912,1.38183445296956e-05,8.35325151299616e-05,0.248871651668999,0.508792979298667,0.536792592939316,-1.45049507355423,0.000137967106526038,0.000898795422125938
"CM002236.1",198194,198497,".","+",-0.30897333190398,0.43870580963307,0.455683588643638,-0.680683128818645,0.0663695251822871,0.0854778337760358,-1.15218862995735,0.00299616600106066,0.00543358753165326,-1.44088478021179,0.000380858028903255,0.00127142157907505,-0.349777225299008,0.426010773570581,0.453355968827855,-1.72108908275412,0.000100536531503111,0.000761622393290969
"CM002236.1",208394,209343,".","-",-0.268903204265909,0.325318251275393,0.343220985229227,-1.24994429482332,1.04642805169243e-05,5.08806683105521e-05,-1.16768768773434,3.43294783167423e-05,0.000127592614687078,-1.75290056762839,1.78431734980927e-08,7.48298088576264e-07,-0.702195722952832,0.0266885564709448,0.0329797815690681,-1.42644253774246,3.53317290301648e-06,0.000148172438620254
"CM002236.1",210486,212487,".","+",0.58701396041316,0.0286799913595479,0.0342424807869335,-0.598559329565095,0.0280718507240182,0.0394889137019208,-0.709506273217974,0.00991348578600836,0.0161064139525705,-1.57319975091677,2.08099937649967e-07,3.84485877817554e-06,0.529911112716235,0.0769198207259157,0.0899184663886575,-1.01935771158001,0.000759656817219131,0.00247837955416324
"CM002236.1",214619,215734,".","+",1.00777032353866,0.000361991078306433,0.000544236781868009,0.477933605273403,0.0823895166356965,0.10490202213008,0.49662155252398,0.0702428851037184,0.0937037294325946,0.00491376762015396,0.98595387862778,0.98595387862778,1.10872928423466,0.000517968735631569,0.000793509181755212,-0.823546893870087,0.0088092185465357,0.0145950262832727
"CM002236.1",216104,216521,".","-",1.16123369611516,0.000224674342974119,0.000359800678128004,0.872827233450525,0.00429834494707212,0.00715679766621686,0.886834498062058,0.0034300240801283,0.00618695203700562,0.476619011146136,0.124067858729864,0.173366971834094,1.47425815536626,4.73053590278957e-05,9.3084738732311e-05,-0.933510299588445,0.00841155926499741,0.0142120345291888
"CM002236.1",219395,220979,".","-",0.925052032236393,0.000741562500107321,0.00105645103518474,0.938205172041283,0.000537712797753135,0.00115273254725992,0.597725758061725,0.0249925434647753,0.0367763084755795,0.0883384574880202,0.743412363872135,0.774224204090952,1.44447708301863,5.53207248169167e-06,1.60693533991996e-05,-0.417986882929092,0.160039345186148,0.191419608948137
"CM002236.1",224661,224874,".","+",1.24166356980593,0.000772343512478803,0.00109333860099847,1.65493053348775,7.29409943030248e-06,3.97913879490485e-05,1.5716502083573,1.41359896965083e-05,7.31726864769351e-05,1.5340482225205,3.10259359397597e-05,0.000154210392707991,1.73895767826606,6.14466749840636e-05,0.000117466435653295,-0.713680694860246,0.0900095465017537,0.113314081993765
"CM002236.1",243323,246248,".","-",1.30613364989872,7.02431146199504e-07,3.46567131691079e-06,1.26173254258257,1.38518695377555e-06,1.19161595638896e-05,1.15960523204193,7.39306268466797e-06,4.50976823764746e-05,1.16167767017564,7.76047503437978e-06,5.25987752330185e-05,1.72907716967626,1.68771373213063e-08,3.14571087294347e-07,-0.0566376546845479,0.838369240236434,0.857539268595499
"CM002236.1",246886,247478,".","-",1.72881824190645,4.49733867622641e-09,1.67650791763773e-07,0.95345961414194,0.000647658505226416,0.00136231616616591,0.780167853556526,0.00457729263609768,0.00804021821681032,0.954818980944748,0.000704956199936246,0.0021023360451432,1.67329167638022,4.94955818220792e-07,2.99203021645182e-06,-0.79094741594755,0.0135785881631558,0.0208973226088934
"CM002236.1",249096,251944,".","-",1.25970057849623,2.08735141021882e-06,7.20349229316342e-06,1.21659882647096,3.80180304438206e-06,2.52575231958452e-05,1.09882937225655,2.48742343096357e-05,0.000111270741478437,0.971299448058331,0.000181445825159686,0.000665301358918849,1.63799786373704,9.63454629615756e-08,1.00265966294121e-06,-0.150953077003448,0.591653463110082,0.63115973568659
"CM002236.1",254974,255694,".","-",1.21732925877658,6.67777446937177e-05,0.000117298080338965,1.00343207192111,0.000695465457381004,0.0014537611274226,1.1537106345993,9.78591355325681e-05,0.00028549339105371,1.18508027652927,7.6251517677581e-05,0.000320968399849743,1.44795608897735,3.18233844356605e-05,6.67296592385256e-05,-0.00564397785721809,0.986179257104446,0.989127476109243
"CM002236.1",256165,256694,".","+",1.58966488069376,6.14319935439093e-07,3.14663111969185e-06,1.79078621744467,2.31236972671997e-08,5.54142888081821e-07,1.70620650486965,6.50590415469631e-08,1.67902372607739e-06,1.78209869856067,2.70838017768327e-08,9.56485841697617e-07,1.93719133636636,1.78362066406389e-07,1.47304055917876e-06,0.72555941583046,0.0304478886371094,0.0424256012236036
"CM002236.1",257492,259361,".","+",1.27028303899028,2.97538232924298e-06,9.46199783375373e-06,1.11795760618166,2.98204400919889e-05,0.000108159542171484,1.10686451591826,3.30895396815959e-05,0.00012502699126505,0.621280951237445,0.0182984327476344,0.0331844550639533,1.30884079909914,2.01507128964158e-05,4.5834333401678e-05,-0.868242411921446,0.00361818130379415,0.00751640760014202
"CM002236.1",262019,263387,".","-",1.12393471441447,0.000113341705128814,0.000189656568931257,0.783529087399204,0.00585546954251852,0.00944475976689886,0.63391323465394,0.0243925058398277,0.0360514788954281,-0.118776263446019,0.680673306172261,0.727279917900617,1.22299446992409,0.000205284458682548,0.000345354897044638,-0.669180968125773,0.0360467183066784,0.0492614011889638
"CM002236.1",264035,265388,".","-",1.00835559103991,0.000446455456760985,0.000659849364507975,0.905454136151667,0.00131093119530256,0.00252044364483672,0.884983900902577,0.00161347224500357,0.00307568146703806,0.307931158261905,0.273734077246204,0.335787140461066,1.02467322508704,0.00157593282187867,0.00221687824629054,-0.897164348005135,0.00499917844225672,0.0095133848433312
"CM002236.1",291632,292877,".","+",1.08983026388288,0.00012931948027725,0.000215854157378195,0.566199219206684,0.0413772588473275,0.0560891731041551,0.296339449821512,0.282654216755981,0.327001688695281,-0.571599755999008,0.0497596215171275,0.0774679954477786,1.4156067417993,1.60394539760495e-05,3.78960338659479e-05,-0.762321734363688,0.0150891346886416,0.0228551001717348
"CM002236.1",293166,294573,".","+",0.654318939166112,0.0214101157668205,0.0257920784192756,0.0252279694598855,0.928242031530122,0.935210815550618,-0.0436507671094603,0.876201146342846,0.898977017119342,-0.520681281030728,0.0754748804364184,0.111549878354266,0.999735099315585,0.00202552167230036,0.00282562378817784,-1.09682315789286,0.000665144267466212,0.00227710103811137
