"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.3878",4.3855104533651,5.12115022356262,4.81537958372043,1.09670342414271,0
"CM002236.1.2177.6443",3.14470583865236,3.73258098341824,3.55427378898293,-0.522308102419201,0
"CM002236.1.14929.16647",2.89398056299928,3.88252971104112,3.16221128522202,-0.734378838932913,0
"CM002236.1.16440.19615",1.9501978604483,2.39359369657868,1.4663857350537,-1.13571656221451,0
"CM002236.1.33980.39245",3.22730543235074,3.34514933560507,2.67269582769346,-0.823760814687452,0
"CM002236.1.40949.43632",3.76911995064955,2.65634225286689,2.53754675344885,-0.862143981996991,0
"CM002236.1.43708.45551",3.51711063888021,3.0256161903206,2.92680485470552,0,0
"CM002236.1.45331.49154",2.30869084884509,2.08680009578429,1.68767539563853,-0.860231687186959,0
"CM002236.1.58145.61150",1.85916854818136,2.24271094813703,2.03690113217466,-0.514173840328207,0
"CM002236.1.90323.92593",3.44785977154372,3.50590475422274,3.26416549349028,0,0
"CM002236.1.180222.181975",2.00849801706693,0.683620145904588,0.812384308072425,0,0
"CM002236.1.182427.186051",3.32243640101544,1.83861759193315,2.35923346791345,1.13241835771076,0
"CM002236.1.185039.188208",3.49342875409594,1.76606970214323,2.28969775011987,0.832432026518385,0
"CM002236.1.188530.190595",4.08835083464988,1.99400902203958,2.42657934299518,1.03512091065564,0
"CM002236.1.189406.191138",3.97471351714025,1.98376304809824,2.3323769267824,0.835769847851083,0
"CM002236.1.193143.195064",2.22795158191801,0.734032784106072,0.786780163764995,0,0
"CM002236.1.195020.196335",3.63741515804835,1.29602431925498,1.28680898580517,0,0
"CM002236.1.195780.197290",3.5032554191214,1.37602388512364,1.42521920525224,0,0
"CM002236.1.197194.198497",3.92385241375654,2.52779159452959,2.60384660849715,0,0
"CM002236.1.208394.210343",3.54671658771097,2.60632768700796,2.48861633303051,0,0
"CM002236.1.209486.212487",3.981074757894,2.37230721870403,2.56978299516996,0,0
"CM002236.1.213619.215734",4.08469004972157,2.71623541282234,2.92577070755612,2.52345932198752,0
"CM002236.1.216104.217521",4.32725551304442,3.2817119725486,3.52323691176758,3.56637016996584,0
"CM002236.1.219395.221979",3.81637462340903,3.01484823876789,3.0847910161027,3.66818156744611,0
"CM002236.1.223661.224874",2.29282837691798,1.3146426144072,1.93538364713638,2.79897473451264,0
"CM002236.1.243323.247248",2.94053923833054,1.24479896012988,1.31882828127094,2.97831077012923,0
"CM002236.1.246886.248478",3.5468032907587,1.80290535498467,1.98286607090535,3.77936936367327,0
"CM002236.1.249096.252944",2.24279613089647,0.65150895308978,1.01109035229508,2.65079440433075,0
"CM002236.1.254974.256694",2.95843130419735,2.34141782662672,2.19630962567075,3.766348969733,0
"CM002236.1.255165.256694",3.06935059753218,2.44783461365436,2.31176840643605,3.92738782873856,0
"CM002236.1.256492.259361",4.03490922512189,3.51715317666357,3.50032265067395,4.70550776896944,0
"CM002236.1.262019.264387",4.34243377635974,3.78696852831244,3.8712017606884,4.18284596075761,0
"CM002236.1.264035.266388",3.48659485738165,3.35273383599337,3.15001602766459,3.48334993724384,0
"CM002236.1.290632.292877",4.65605525540921,4.49379525331105,4.50832251657033,4.78132454932633,0
"CM002236.1.292166.294573",4.48357178690137,4.18461136782766,4.31468184702674,4.89615594882782,0
"CM002236.1.296498.298770",4.71357677613752,4.14466593022442,4.19123206902641,4.64035646999073,0
"CM002236.1.301352.303729",4.0662130641024,3.47689580588249,3.41200980252477,4.44241195801021,0
"CM002236.1.8866489.8868649",1.67497110489447,-0.539975226115329,0,1.01349745607246,0
"CM002236.1.9649954.9652509",1.96910975929799,2.63487754782818,2.66737618796848,0,0
"CM002236.1.9687687.9689732",2.80921913168694,3.43584391152535,3.25566825504008,0,0
"CM002236.1.9689584.9691543",3.22023297733799,3.44562418330808,3.3151173266345,0,0
"CM002236.1.9688977.9690773",3.19358545481359,3.59521105886308,3.46279268959453,0,0
"CM002236.1.9692169.9694340",2.43878557303564,2.65139485915161,2.45682939421213,0,0
"CM002236.1.9693631.9697675",1.72001481301629,2.57802757307411,2.35668425577836,-0.937824614574083,0
"CM002236.1.9758596.9762612",3.8797993690536,4.60637794362334,4.48509259730328,0,0
"CM002236.1.9770840.9773169",4.14625001703819,4.84057641746792,4.29540233541409,0,0
"CM002237.1.8926.12029",4.93372230656876,4.99979336135488,4.95647446946927,0,0
"CM002237.1.10641.12594",4.88747946802721,4.88747543731305,4.86219664995667,-0.860406434878425,0
"CM002237.1.12520.14311",4.09382795697716,4.88678287928609,4.33117227092255,0,0
"CM002237.1.15942.19173",3.91520414754947,4.40916564991369,4.08501110257004,-0.677667596375588,0
"CM002237.1.18041.19908",3.40028731246794,3.69253114938267,3.34399436924204,-1.08906727375648,0
"CM002237.1.34370.36627",3.54584651375808,3.85908696275234,3.6619721498662,0,0
"CM002237.1.36176.39253",1.9962746491819,2.51112233541812,2.28372310348813,-0.975040614861127,0
"CM002237.1.40798.42401",2.04045640553451,2.78616380735141,2.61746586951288,-0.574673877052582,0
"CM002237.1.50942.53778",2.65839698812693,2.73304440586664,2.66910701875993,-0.778788222949101,0
"CM002237.1.55203.56983",2.86340020191795,3.04387856764588,3.12139867256223,0,0
"CM002237.1.69444.71887",2.38647881459824,2.3998794977158,2.54021482077826,-0.785274977997896,0
"CM002237.1.73201.75342",2.77168608438036,3.04560820112005,3.07508794065991,0,0
"CM002237.1.74558.76400",2.32545832134663,2.80132781451076,2.62882324272424,-0.78922474413399,0
"CM002237.1.75424.78257",2.10015481404498,2.85862287849019,2.66208209098188,-0.926077296374472,0
"CM002237.1.106019.108114",3.2482697159421,3.29977762731303,3.59242612959539,0,0
"CM002237.1.147606.149334",2.6641904904346,2.5506389148366,2.45339942810987,0,0
"CM002237.1.561860.563629",2.16736898059964,0.45974724060432,0,4.25905107280283,0
"CM002237.1.563402.565440",2.69475899952166,0.850746735153694,0.517483945781347,4.8591414409471,0
"CM002237.1.565861.568505",2.58509415033288,0.727685403616702,0.567519738129344,4.71101919382542,0
"CM002237.1.568989.571312",2.54868490586,1.12472996225992,0.83353024593067,4.82328251528253,0
"CM002237.1.584152.586019",1.2981210465601,0,0,4.14980617964022,0
"CM002237.1.1677866.1679593",3.20733918973004,1.22682007347665,2.20570059749504,3.06007792724139,0
"CM002237.1.1679516.1682564",2.91392958749648,0,1.34164757790183,3.43540149754913,0
"CM002237.1.1683361.1685546",2.45932009185749,-0.700158141363055,0,2.37340821069903,0
"CM002237.1.1684913.1686735",2.40694707811372,-0.596722841307025,0,2.63096117264487,0
"CM002237.1.4044659.4047143",1.52797459990493,1.71611151816907,1.05223396829412,2.48001551459506,0
"CM002237.1.4164713.4166274",1.8417954473643,2.29303179954284,2.29589357214142,4.16165360841446,0
"CM002237.1.4297462.4299228",1.76937833308706,0,0.563631914436954,0,0
"CM002237.1.4447139.4449862",3.45919839675743,3.68117474006371,3.34737716633494,-0.659870797451464,0
"CM002237.1.4451074.4453364",3.18695293438432,3.20447331353432,3.19393352558562,-0.722290203743792,0
"CM002237.1.4465317.4468439",3.26162332771086,3.12987865155901,3.01335255961814,-0.849264396595111,0
"CM002237.1.4467612.4470618",3.56452910278864,4.2780569879617,3.99711573470139,-0.549709425755384,0
"CM002238.1.8256.12729",4.01853513678914,4.74274034964091,4.44789881577777,-0.630152253211638,0
"CM002238.1.11870.14169",3.96999761596316,4.34200695139982,4.24339219345541,-0.585259680742953,0
"CM002238.1.28170.30638",2.76825387345241,2.65857489823738,2.21567988760204,-0.749960887903071,0
