"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",-0.243875954253223,0.538247312761586,0.976404587412461,0.0059741618348473,0.987944537634544,0.993869242507915,0.326147890076996,0.408387000489622,0.96734985015269,-0.0336385332488246,0.935230001656083,0.993213981805207
"CM002236.1",2677,3477,".","+",-0.25946296785215,0.508070850028723,0.976404587412461,0.0316683007541117,0.93540707511186,0.982935772216583,0.277054959507748,0.477713209563004,0.96734985015269,-0.0124749159321709,0.975626672260996,0.993520145469825
"CM002236.1",15429,16229,".","+",-0.697317423340783,0.0862706382350168,0.956346876815861,-0.162826770874574,0.686326417125666,0.982935772216583,-0.0172390621271302,0.965887541280657,0.997314873110198,0.73318888601826,0.083180526900913,0.920022014776384
"CM002236.1",16940,17740,".","+",0.0686085155272042,0.851728532565239,0.97861274888917,0.186887470372175,0.610067968236066,0.982935772216583,0.254101163168612,0.487987671163366,0.96734985015269,0.279464023556658,0.467696753886781,0.920022014776384
"CM002236.1",34480,35280,".","+",-0.162594535234647,0.670410913932098,0.976404587412461,0.349937570761974,0.357191692427317,0.982935772216583,0.36012083921751,0.343716019266504,0.925383112202955,0.800340299436685,0.0459772394394892,0.920022014776384
"CM002236.1",42332,43132,".","-",0.273576161220387,0.494876654047111,0.976404587412461,0.317238304190462,0.427888794971059,0.982935772216583,-0.112030008041782,0.77940309518218,0.991289569384825,0.199939494271072,0.636523928655643,0.946411414463062
"CM002236.1",44251,45051,".","-",-0.49741096143971,0.214069385506697,0.976404587412461,-0.0857425896372357,0.829879452154381,0.982935772216583,-0.171219993230144,0.668287311560416,0.991289569384825,0.278631888885009,0.507175104188963,0.920022014776384
"CM002236.1",47854,48654,".","-",0.188431699267472,0.599270746712014,0.976404587412461,-0.0649855644614134,0.855939407145428,0.982935772216583,0.376441405996144,0.292356692513133,0.875764913733536,-0.102576108665432,0.785166556221525,0.961907834292264
"CM002236.1",58645,59445,".","+",-0.286955988116057,0.458061999733512,0.976404587412461,0.168260722711543,0.662842359323488,0.982935772216583,-0.410881199266956,0.29025929455253,0.87338110603026,0.241403463244196,0.553242154910032,0.929731645334695
"CM002236.1",90823,91623,".","+",-0.286976128800457,0.478941412524978,0.976404587412461,0.356633807358001,0.376298237118188,0.982935772216583,0.127296782277379,0.752480059949935,0.991289569384825,0.472703538979599,0.268615897518775,0.920022014776384
