# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-p" "-a" "/scratch/evt82290/histone_chaperone_plot_FINAL/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_FINAL/readcounts_FINAL.txt" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam
NCU10129	CM002236.1;CM002236.1	1151;1528	1449;2878	-;-	1650	691	586	654	520	587	645	3546	2199	553	599	633	33	34	401	379	743	890	61	175	987	580	57	822	828	929	557	758	65
NCU09901	CM002236.1;CM002236.1;CM002236.1	3178;3895;5114	3821;4860;6443	+;+;+	2940	633	681	730	616	619	570	1359	1062	277	434	443	18	18	326	281	570	582	29	68	344	371	66	729	704	742	357	333	33
NCU09903	CM002236.1;CM002236.1	9177;12245	12188;13334	+;+	4102	1846	1682	2027	1436	1357	974	3727	2958	574	820	722	25	70	1047	801	1365	1490	59	75	314	320	174	1592	1636	1525	799	939	60
NCU11134	CM002236.1;CM002236.1;CM002236.1	15930;16065;16491	16015;16295;16647	+;+;+	474	21	13	6	7	12	1	12	11	5	0	4	0	0	7	4	8	0	0	0	1	0	0	2	2	0	0	0	0
NCU09904	CM002236.1;CM002236.1	17441;18438	18362;19615	+;+	2100	841	194	1199	409	497	550	672	346	90	3967	3646	112	128	349	895	1172	1783	54	210	778	461	287	2816	2493	2793	800	1628	150
NCU14001	CM002236.1;CM002236.1	34691;34982	34875;35418	+;+	622	36	26	36	23	31	17	118	88	23	18	21	0	2	47	35	58	69	2	17	56	50	3	35	43	24	10	28	0
NCU09906	CM002236.1;CM002236.1;CM002236.1;CM002236.1	34981;35950;36557;38669	35866;36503;38605;39245	+;+;+;+	4066	4639	905	7355	2182	2275	2571	3809	2450	631	14041	14624	559	608	831	2630	5954	8679	312	723	3287	1871	1581	16008	16390	16693	3555	6613	539
NCU09907	CM002236.1	40950	42632	-	1683	76	104	25	98	65	64	434	250	55	2	0	0	0	4	0	4	0	0	0	6	0	0	2	4	0	10	23	4
NCU09908	CM002236.1	43709	44551	-	843	2	7	4	5	0	4	15	4	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU09909	CM002236.1;CM002236.1;CM002236.1	45332;45973;47713	45913;47636;48154	-;-;-	2688	5389	5086	4809	4879	5081	5602	4955	3370	769	1901	2134	117	108	4624	2103	2296	1513	137	583	3498	3104	60	573	664	570	1072	1910	76
NCU09910	CM002236.1;CM002236.1;CM002236.1;CM002236.1	49237;51019;52048;52764	50967;51996;52689;52949	-;-;-;-	3537	811	854	651	708	668	746	1305	957	190	663	664	21	8	245	213	628	696	30	114	461	367	59	801	777	823	316	304	11
NCU09911	CM002236.1	53114	54518	+	1405	5344	8201	5266	5899	5494	6275	13713	9900	2173	3701	3910	126	140	2499	3488	3404	3354	232	871	4088	3660	216	2151	2269	2327	2972	2749	112
NCU09912	CM002236.1;CM002236.1	54882;56904	56845;57945	+;+	3006	1199	1222	1142	1072	1190	1085	2829	2061	435	546	554	33	19	492	427	973	948	70	240	948	831	90	883	1011	958	405	463	24
NCU09913	CM002236.1	59146	61150	+	2005	371	428	279	403	538	597	742	488	69	278	285	20	24	204	196	325	291	19	113	572	347	31	200	210	243	235	285	26
NCU09914	CM002236.1;CM002236.1	62094;62635	62565;62950	+;+	788	61	95	52	57	76	76	85	89	3	142	141	0	9	56	78	54	35	4	10	97	35	5	51	45	49	168	111	15
NCU10501	CM002236.1;CM002236.1;CM002236.1	91324;91593;92461	91514;92315;92593	+;+;+	1047	15	0	10	7	5	16	106	88	24	6	4	0	0	1	7	6	2	3	2	8	4	0	4	10	6	20	28	0
NCU08049	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	93474;93689;95218;95218;95407;95407;95742;95742;96320;96320;97486;97486;98796	95046;95046;95266;95266;95467;95467;95997;95997;97262;97262;98605;98699;98954	-;-;-;-;-;-;-;-;-;-;-;-;-	4255	508	673	381	634	707	739	1701	1161	219	268	285	2	12	173	144	272	319	20	147	559	459	41	345	352	378	293	215	16
NCU08050	CM002236.1;CM002236.1	99983;101166	101042;102134	+;+	2029	246	394	158	527	603	681	705	457	123	169	187	4	6	93	78	185	158	20	80	398	264	15	216	163	197	142	91	4
NCU08051	CM002236.1	102314	105940	-	3627	795	868	841	653	648	659	953	696	165	718	696	46	29	374	417	623	898	35	80	505	420	116	966	925	933	553	357	21
NCU16303	CM002236.1	102849	103781	+	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08052	CM002236.1;CM002236.1;CM002236.1	109911;110973;111335	110908;111273;112060	+;+;+	2025	491	239	555	1360	1443	1179	5115	2464	715	743	842	30	30	88	80	17798	34093	1034	2494	8837	4797	2620	25865	26343	27360	3869	957	65
NCU08053	CM002236.1	112097	113288	-	1192	2189	2163	2170	2236	2470	2165	3265	2222	484	806	1048	36	96	1810	1206	2364	2413	119	486	2498	2039	301	3422	3433	3023	1290	1403	130
