"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1501.1800",0,1.35523719628237,0.980125253672906,0,1.12858079842473,0
"CM002236.1.3901.4200",1.31362810310672,1.53744586011436,1.71854771350904,1.97955768998958,1.5961285620895,1.08352774604038
"CM002236.1.4201.4500",1.23849866361147,1.33912695014111,1.29262779813409,1.85236577745454,2.24541641626652,1.6348382983947
"CM002236.1.4501.4800",0,0,0,0,0,1.36726047703976
"CM002236.1.6001.6300",0,0,1.02855451783832,0.959920414895162,0,0
"CM002236.1.18601.18900",0.938752060663747,0,1.17704511926253,0,1.36577846453565,0
"CM002236.1.18901.19200",0,0,0,0,1.12305835227094,0
"CM002236.1.36001.36300",0,0,1.21472535170514,0,0,0
"CM002236.1.36301.36600",1.50597112619073,0,1.06348990573769,1.11743138091533,1.02927530240018,0
"CM002236.1.36601.36900",0.99336129980048,1.16095540927233,1.17919596156909,1.38590658066864,1.9119381992944,0
"CM002236.1.36901.37200",1.06947314936912,1.54925105993124,1.33885711174094,1.25949855875455,1.55854545551493,0
"CM002236.1.37201.37500",1.34125413330684,1.02343205916661,1.07586689415971,1.01528257107601,1.29971301861553,0
"CM002236.1.37501.37800",1.45771620116169,1.26721564706182,1.14959024036322,0,1.83802149417189,0
"CM002236.1.37801.38100",0.900989633999899,0,1.00170925770109,1.11393541987907,1.7809590248827,0
"CM002236.1.38101.38400",1.43922241050093,1.14092686804938,1.49208542423897,1.39186914058806,1.96165862086445,0
"CM002236.1.38401.38700",1.4118513610652,0,1.20892975379138,0.908669901606891,1.98950724476448,0
"CM002236.1.38701.39000",1.51319012757716,0,0.912320945564861,0,1.29816383634686,0
"CM002236.1.41401.41700",0.961018629717816,0,0,0,0,0
"CM002236.1.41701.42000",1.51492607136767,0,0,0,1.21184854062053,0
"CM002236.1.42301.42600",1.01080762581253,0,0,0,0,0
"CM002236.1.42901.43200",1.18187594611294,0,0,0,0,0
"CM002236.1.43801.44100",1.18084262819868,0,0,0,0,0
"CM002236.1.44101.44400",1.31657644799954,0,0,0,1.65519017345643,0
"CM002236.1.45601.45900",1.35928586470217,1.62225488617732,1.49954583070166,1.74331224727129,1.73657867299379,0
"CM002236.1.45901.46200",1.55673943059027,1.41994333037077,1.26589315629118,1.68204878184021,1.94380517879943,0
