"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1201.1500",0.675826685400033,0.390698049966532,-3.05196774472612,-4.98878432702279,-1.31356177655105
"CM002236.1.1501.1800",1.32792912560105,0.407998645935228,-2.99730598585649,-4.92852104695209,-1.46690564301796
"CM002236.1.1801.2100",0.711111701518736,0.439412575518371,-3.54845962016328,-5.45415742258421,-1.22635076891423
"CM002236.1.2101.2400",0.696248767418759,0.349271327006122,-3.70771523922271,-4.37319688554921,-1.36933136082728
"CM002236.1.2401.2700",0.328208093861944,0.414628060565778,-4.6017806560318,-5.25077230359916,-1.51105784951951
"CM002236.1.3301.3600",0.856934368051286,-0.105171421925729,-2.62757258783865,-1.01312171903452,-0.379707632888714
"CM002236.1.3601.3900",0.469453589679161,0.249211722767109,-2.07131370008059,-0.990982822207987,-0.137242550913549
"CM002236.1.3901.4200",0.133652993347051,0.064151086188554,-1.46832604103191,-1.48937112292241,-0.613181625693869
"CM002236.1.4201.4500",0.258291857870595,0.331760278100206,-2.2051923617975,-0.778195958728151,-0.462328053759462
"CM002236.1.4501.4800",0.395991253636848,0.624103477213075,-2.75436163290715,-1.67403479735048,-0.268294746630537
"CM002236.1.4801.5100",1.00050507204567,0.829140101329621,-1.83995409050591,-1.31240318142087,-0.183490301337071
"CM002236.1.5101.5400",0.985482886305909,0.143281992090633,-3.00257910664669,-2.52539744186242,-0.470704715714197
"CM002236.1.5401.5700",0.842050320065401,0.44771763794276,-3.67214635799235,-2.28241944444397,-0.700605967408145
"CM002236.1.5701.6000",-0.15380779367886,-0.325449104301418,-4.13815834346321,-3.83019538856499,-0.84824836840584
"CM002236.1.6001.6300",0.680307265760079,0.633768739065522,-3.98871724738593,-3.3108420212847,-0.724009556999723
"CM002236.1.16201.16500",1.47691332904733,0.286770272976497,-2.54413860561558,-2.55410081314903,-0.86104817126555
"CM002236.1.17701.18000",0.454085746353633,-0.620228277434075,-3.45059859145996,-2.37841987805469,0.520939896247969
"CM002236.1.18001.18300",0.601379349013207,-0.389378095762611,-3.48469634273342,-2.52109783567024,0.324015618907037
"CM002236.1.18301.18600",0.136273946514324,-1.11397532749857,-4.58613242765565,-3.05080758666775,0.288080897541403
"CM002236.1.18601.18900",0.165047791975419,-0.437708251679185,-3.76104114327961,-3.38698531183823,0.117583969958922
"CM002236.1.18901.19200",-0.368530166096358,-0.980841792913187,-3.54297653442537,-2.89698586306279,0.0453008954669058
"CM002236.1.19201.19500",-0.0552440945142519,-0.538923568171978,-2.5577222859122,-1.76653228525278,0.578211129077643
"CM002236.1.35101.35400",0.698097170425971,-0.992776251140844,-3.97974623767969,-3.14973579341713,-0.155884807541021
"CM002236.1.35401.35700",0.353934096585741,-1.01803076425713,-3.69152088260692,-3.76334514723565,-0.38620747460261
"CM002236.1.35701.36000",-0.0515168333624369,-0.602335053236917,-4.68323873976526,-3.59967957841607,-0.392520429843434
"CM002236.1.36001.36300",0.285202588965058,0.365126426569448,-4.04855572949169,-3.42791110046311,-0.399757165698706
"CM002236.1.36301.36600",-0.492924107654612,-0.487015208651538,-3.81758710632555,-3.83048009107043,0.00879110499113799
"CM002236.1.36601.36900",0.10367116541796,-0.350929950279372,-4.37122738317645,-3.53605439660435,-0.220238407214067
"CM002236.1.36901.37200",0.123154368283784,-0.574326999539597,-4.53294104586251,-3.33544679149644,-0.00785381123179873
"CM002236.1.37201.37500",-0.338351318059625,-0.450718483578701,-4.29464903637455,-4.09943358619952,0.052997596400744
"CM002236.1.37501.37800",-0.196831617117681,-0.61326172605499,-4.45462977742178,-3.36763217023737,-0.0906766059176182
"CM002236.1.37801.38100",0.0858755719593025,-0.13085768660024,-4.50096468209458,-3.12525419136688,-0.322900584429118
"CM002236.1.38101.38400",-0.219968969238648,-0.231333854457238,-4.40292189772018,-3.15776679616293,-0.654470932024656
"CM002236.1.38401.38700",-0.355419096208971,-0.288102681473355,-4.3094706422999,-3.33158610941781,-0.475782330062538
"CM002236.1.38701.39000",-0.973153609915465,-1.06999972366677,-4.28447464298558,-3.77048709527564,-0.918430440411917
"CM002236.1.41101.41400",-1.78275208202514,-2.15631421338725,-4.78577799239437,-3.75952096796144,-0.465150762446596
"CM002236.1.41401.41700",-1.59648415761484,-1.68036874846345,-4.15614294818433,-3.17708022501654,-0.190108559862548
"CM002236.1.41701.42000",-1.30768280147123,-1.69653694527444,-4.19107196384025,-3.62107956885619,-0.263621907247826
"CM002236.1.42001.42300",-1.19695842065039,-1.38428856247946,-4.64188319215657,-3.63260918971222,-0.411994231642397
"CM002236.1.42301.42600",-0.994315237178159,-1.24951976657283,-5.14021948816829,-3.6382317532773,-0.618825334204675
"CM002236.1.43801.44100",-0.468366770888659,-0.467984281122427,-4.27734856646052,-3.98504152469244,-0.794184480157655
"CM002236.1.44101.44400",-0.306666859039346,-0.433872718460452,-3.96404902857231,-4.0144646972615,-0.181169064904398
"CM002236.1.45601.45900",-0.188789508361949,-0.588005999296856,-3.98179848996031,-3.072804223956,-0.17886225450625
"CM002236.1.45901.46200",-0.0877681830887023,-0.735916071464515,-3.45957809611024,-2.33009036445982,-0.206324923855881
"CM002236.1.46201.46500",-0.396138494141072,-0.469835068607704,-3.42017764277628,-2.97104593328026,0.0186825707501459
"CM002236.1.46501.46800",-0.182306293030128,-0.463002085829621,-3.05396380830429,-2.96115663016174,-0.135628663972587
"CM002236.1.46801.47100",-0.394504499387652,-0.879980738019202,-3.27049004353043,-2.19562666133377,0.0151451687839872
"CM002236.1.47101.47400",0.194461770185297,-0.20473382189727,-2.66487400444391,-1.17329991546589,0.151650057010112
