"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2401.2700",-2.62940822156272,-1.54400872425383,-0.771162859172404,-2.42287200723131,-4.55972920884838,-1.1521836670402
"CM002236.1.2701.3000",-1.75158180848083,-2.49903958389616,-1.77708848817355,-2.22411170006463,-2.80114333919182,-2.2608338580867
"CM002236.1.3001.3300",-3.45051142941263,-2.53724878190098,-2.46980440049062,-2.69650775078699,-4.26698523554572,-1.56548942083178
"CM002236.1.3301.3600",-1.32816223646979,0.190615911290908,-0.743508627763841,-0.563756866033574,-1.45459190578731,-0.197273133350232
"CM002236.1.15001.15300",-0.251197587868363,-0.479450816186083,-0.371824553876446,-0.78209544751366,-1.91125599941784,-1.3195067813342
"CM002236.1.15301.15600",-0.830686469928263,-0.547993294698459,-0.400144188157427,-1.09801095066492,-1.91227337546428,-1.29428721624761
"CM002236.1.15601.15900",-0.630399837823076,-0.518076262583358,-0.464797979437834,-1.16106450693694,-2.69138079330583,-0.360191531133328
"CM002236.1.16501.16800",-3.4066603068182,-2.12226731519557,-2.27271661900166,-3.41212188374875,-3.94946567525463,-1.22972196028359
"CM002236.1.16801.17100",-2.61056537152067,-2.37152452442984,-2.28016179577041,-3.13585717527517,-3.69666255540647,-1.39252566548131
"CM002236.1.17101.17400",-4.80201331381591,-3.41683551636027,-3.28969450518309,-3.70659296292854,-4.61985910090124,-1.49828035819512
"CM002236.1.34201.34500",-1.9288533849138,-2.28452720284105,-2.47636989352763,-3.73768243593077,-5.58546406649105,-1.40539218666661
"CM002236.1.34501.34800",-2.06372924563609,-2.31752283272374,-2.885061319798,-2.83277687317326,-3.64590368964785,-1.5966870029985
"CM002236.1.42901.43200",1.18182814764445,0.26138765095652,-0.229930120504214,-1.07432548190309,0.35898450987697,-0.539773692410533
"CM002236.1.43201.43500",0.024662568121307,-0.512353337425819,-0.62248301604842,-1.30253095985527,0.0902233090079012,-1.12727170973626
"CM002236.1.44701.45000",-0.0118658482700326,-0.41409935567835,-0.539089257276594,-0.424339729992269,0.158432672753372,-0.974990398938462
"CM002236.1.45001.45300",0.744415282751815,-0.173431596692054,0.116422355335892,-0.0600050469787413,0.40579560663912,-1.276832764662
"CM002236.1.48301.48600",-3.39092404786579,-2.4135849247964,-3.21662618050021,-3.44014152058206,-3.19359453663722,-1.45336174648714
"CM002236.1.48601.48900",-1.37588379532456,-1.71351987406394,-1.48055855121895,-1.95021971302698,-2.60695264356907,-1.52667166702629
"CM002236.1.58201.58500",-0.11455675873678,-0.0171888863094999,-0.389720681258489,-0.201293847614838,-0.164084458571299,-1.51970660005546
"CM002236.1.58501.58800",-0.107776544079491,-0.742117250552896,-0.545594098198608,-0.602532148441856,-0.489515835864962,-0.456605592683805
"CM002236.1.90601.90900",0.454408112482486,0.419934043226315,-0.0334202839144313,-0.858128005591128,0.258403890179967,-1.05265070907751
"CM002236.1.90901.91200",1.01104210452897,0.4604071572393,0.98520027521237,-0.55638708206856,0.516162318527367,-1.37065471900569
"CM002236.1.180301.180600",0.329993896098749,0.14922321327492,0.253403530221852,-0.233169446648038,0.527968853155581,-1.35707303699527
"CM002236.1.180601.180900",0.631304110084582,-0.0684881200028534,-0.198032154906579,-1.06823442834744,0.383639025666835,-0.387141590995332
"CM002236.1.180901.181200",0.355967655530917,-0.244485891532935,-0.501774058034605,-1.00152293412883,0.340130122003128,-1.38106662007689
"CM002236.1.185101.185400",0.702182478420816,-0.157060056301125,-0.663752266174946,-0.533268992568688,0.329969768136366,-1.16407426944002
"CM002236.1.185401.185700",-0.391244189412885,-0.781642478072405,-0.0276128375020995,-1.04678849807036,-0.0760288301759826,-1.30714982147563
"CM002236.1.185701.186000",-1.7219700817933,-1.93248985700128,-1.98672249909426,-2.21766545530697,-1.64487057598406,-1.54977245050409
"CM002236.1.189601.189900",0.376486482544015,-0.710899495148717,-0.337811982548708,-1.28927582842536,0.490715369106835,-1.35382250825021
"CM002236.1.189901.190200",0.419049688673396,-0.80643492423512,-1.00589413339762,-1.78533071580205,0.318465949640333,-1.27316964726488
"CM002236.1.190201.190500",0.562716718206778,-0.489032353244247,-0.512180257955465,-1.28792245697676,0.890948487675297,-1.42128948349657
"CM002236.1.194101.194400",-1.4785801922376,-2.2173612491659,-1.98946601161988,-2.16261299566912,-2.70882513423654,-0.613327125229526
"CM002236.1.194401.194700",-2.75040976607592,-2.93220670741307,-1.84836589951927,-2.16673208575376,-2.40934943509242,-1.41924819869254
"CM002236.1.194701.195000",-1.7103508891738,-2.92123554948488,-2.73394502663763,-2.5345099288825,-1.80096330716416,-1.86492200045559
"CM002236.1.195601.195900",0.761871181530328,-1.49492254608395,-1.87797233885877,-2.12638561406516,0.285814795347543,-1.2650312708605
"CM002236.1.195901.196200",0.681554156943932,-0.96190668395381,-1.13766025032851,-1.59401694295389,0.0642636684548258,-1.19163630825573
"CM002236.1.196501.196800",-1.5323502626121,-1.99065452452672,-1.78141762303966,-2.01441579422428,-1.41278546367236,-0.952235763934029
"CM002236.1.196801.197100",-1.50627989219231,-2.44351346393221,-2.514237573086,-2.30991723852291,-2.27406357331581,-1.88707784914983
"CM002236.1.197401.197700",-0.985984695950371,-1.64226699721753,-1.05288054355002,-2.23461398455122,-2.51761717188226,-0.721659182512608
"CM002236.1.197701.198000",0.300794595334677,-0.849219195696788,-1.13629456513694,-1.52881670732387,-0.380036886885596,-0.813841563140322
"CM002236.1.209401.209700",-0.778375248221315,-1.24268427767812,-1.5847803621142,-2.29462221161722,-0.784734729646866,-0.877546308956085
"CM002236.1.209701.210000",-2.09043718893777,-1.96668931835035,-2.23806742622238,-3.12373434526449,-1.66448118903099,-1.29196310681322
"CM002236.1.210001.210300",-2.07831803300483,-2.27259428415486,-2.13210705204006,-2.20720908511846,-2.52306250210334,-1.79602021005186
"CM002236.1.213901.214200",-0.0969979312035367,-1.16902499893807,-1.09272645970458,-1.54009982101527,-0.379318505787772,-1.1930615587217
