"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1201.1500",0,0,-3.05180629353144,-4.98857335393651,-1.31361529194151
"CM002236.1.1501.1800",1.32833467782641,0,-2.99779852409099,-4.92891075344427,-1.46687125149418
"CM002236.1.1801.2100",0,0,-3.54875681742624,-5.45436772867801,0
"CM002236.1.2101.2400",0,0,-3.70874126747001,-4.3728251984564,-1.36939976637362
"CM002236.1.2401.2700",0,0,-4.60232885854075,-5.25127751378538,-1.5111161736015
"CM002236.1.2701.3000",0,0,-3.62567572345986,-4.28373437759255,0
"CM002236.1.3001.3300",0,0,-2.97822729534455,-2.16299666578735,0
"CM002236.1.3301.3600",0,0,-2.62767241825513,0,0
"CM002236.1.3601.3900",0,0,-2.07179536964003,0,0
"CM002236.1.3901.4200",0,0,-1.46877439730188,-1.48972878207724,0
"CM002236.1.4201.4500",0,0,-2.20596700880898,0,0
"CM002236.1.4501.4800",0,0,-2.75481446850047,-1.6745190212216,0
"CM002236.1.4801.5100",0,0,-1.84036117692468,-1.31231879731206,0
"CM002236.1.5101.5400",0,0,-3.00304076161432,-2.5253658483157,0
"CM002236.1.5401.5700",0,0,-3.67305934951589,-2.28235016247407,0
"CM002236.1.5701.6000",0,0,-4.13928281907543,-3.83035675314658,0
"CM002236.1.6001.6300",0,0,-3.98933082334265,-3.31091743269004,0
"CM002236.1.15001.15300",0,0,-4.06607266335817,-3.34009910534364,0
"CM002236.1.15301.15600",0,0,-3.96390341439605,-3.38412040568629,0
"CM002236.1.15601.15900",0,0,-4.01512465235177,-3.89347758581603,0
"CM002236.1.15901.16200",0,0,-3.1404509633776,-2.96731428509997,0
"CM002236.1.16201.16500",1.47691025787871,0,-2.54413830382319,-2.55456779586885,0
"CM002236.1.16501.16800",0,0,-1.39077046879871,-1.22727504805988,0
"CM002236.1.16801.17100",0,0,-1.77682035320371,-1.22535933050018,0
"CM002236.1.17101.17400",0,0,0,0,0
"CM002236.1.17401.17700",0,0,-2.5753040400689,-2.15818533759599,0
"CM002236.1.17701.18000",0,0,-3.45135125111819,-2.37828498051344,0
"CM002236.1.18001.18300",0,0,-3.4854140112206,-2.52128286434518,0
"CM002236.1.18301.18600",0,0,-4.58643256297131,-3.05042652108262,0
"CM002236.1.18601.18900",0,0,-3.76148727891927,-3.3874000696003,0
"CM002236.1.18901.19200",0,0,-3.54328166373031,-2.89700570563449,0
"CM002236.1.19201.19500",0,0,-2.55828711573905,-1.76688404847414,0
"CM002236.1.34201.34500",1.77344764337196,0,-2.06541896232533,-1.17165339195849,0
"CM002236.1.34501.34800",0,0,-2.81472450139213,-2.10522154447224,0
"CM002236.1.34801.35100",0,0,-2.93167502500397,-2.92307207969063,0
"CM002236.1.35101.35400",0,0,-3.98068432171529,-3.15017397976435,0
"CM002236.1.35401.35700",0,0,-3.6921947939626,-3.76365214759134,0
"CM002236.1.35701.36000",0,0,-4.68405305881818,-3.59939492082012,0
"CM002236.1.36001.36300",0,0,-4.04993077959017,-3.42815939795963,0
"CM002236.1.36301.36600",0,0,-3.81797894051633,-3.83043545962067,0
"CM002236.1.36601.36900",0,0,-4.37205589452297,-3.53655075249361,0
"CM002236.1.36901.37200",0,0,-4.53246897591713,-3.33572168993874,0
"CM002236.1.37201.37500",0,0,-4.29551855068507,-4.09916351081305,0
"CM002236.1.37501.37800",0,0,-4.45476162594505,-3.3675380420094,0
"CM002236.1.37801.38100",0,0,-4.50151394688161,-3.12535452585728,0
"CM002236.1.38101.38400",0,0,-4.40307908261375,-3.15772504144154,0
"CM002236.1.38401.38700",0,0,-4.31069617160323,-3.33161588166861,0
"CM002236.1.38701.39000",0,0,-4.28421811222842,-3.77023336598145,0
"CM002236.1.41101.41400",-1.78275379385961,-2.1559873803174,-4.78543861083112,-3.76009558247035,0
"CM002236.1.41401.41700",-1.59701683872333,-1.6799393890964,-4.15746019579616,-3.17708964392493,0
"CM002236.1.41701.42000",-1.30781158645602,-1.69637766434609,-4.19255559486875,-3.62171395360239,0
"CM002236.1.42001.42300",-1.1968331423647,-1.38371246084676,-4.64231810188831,-3.63327315801258,0
"CM002236.1.42301.42600",0,-1.24914945084525,-5.14137586576027,-3.63942593018645,0
"CM002236.1.42601.42900",0,0,-4.88385550384047,-2.85173032865704,0
"CM002236.1.42901.43200",0,0,-4.06674511484489,-3.45389489792482,0
"CM002236.1.43201.43500",0,0,-4.95962620863337,-2.82618494611418,0
"CM002236.1.43801.44100",0,0,-4.27842717688076,-3.9852872378565,0
"CM002236.1.44101.44400",0,0,-3.96357608026568,-4.0145668158495,0
"CM002236.1.44401.44700",0,0,-3.28392938855419,-3.40049430299687,0
"CM002236.1.44701.45000",0,0,-3.60709289829941,-3.15313820284294,0
"CM002236.1.45001.45300",0,0,-3.30736536253913,-2.95720686009619,0
"CM002236.1.45601.45900",0,0,-3.98305955551174,-3.07352465833145,0
"CM002236.1.45901.46200",0,0,-3.46045060838636,-2.330507576038,0
"CM002236.1.46201.46500",0,0,-3.42073232558036,-2.97089311127689,0
"CM002236.1.46501.46800",0,0,-3.05519045250845,-2.96240332588428,0
"CM002236.1.46801.47100",0,0,-3.27198713323712,-2.19536836153785,0
"CM002236.1.47101.47400",0,0,-2.66409613429779,-1.17362794809121,0
"CM002236.1.47401.47700",0,0,-2.99405036613669,-1.71882338252703,0
"CM002236.1.47701.48000",0,0,-2.26927515330414,-1.68534413706064,0
"CM002236.1.48001.48300",0,0,-2.58016950626724,-1.80895402890609,0
"CM002236.1.48301.48600",0,0,0,0,0
"CM002236.1.48601.48900",0,0,-1.43030286405774,0,0
"CM002236.1.58201.58500",0,0,-2.48860594657065,-1.88173203037295,0
"CM002236.1.58501.58800",0,0,-3.08939303623449,-1.86257465980667,0
"CM002236.1.58801.59100",0,0,-2.40260917532906,-2.2510749415338,0
"CM002236.1.59101.59400",0,0,-2.77440072981224,-2.48907066985523,0
"CM002236.1.59401.59700",0,0,-3.41665763044277,-1.95260135554811,0
"CM002236.1.59701.60000",0,0,-2.01065632958368,-1.84709139079064,0
"CM002236.1.60001.60300",0,0,-1.90832112575483,-1.43690177079622,0
"CM002236.1.60301.60600",0,0,-2.10769593652271,-1.5527213136644,0
"CM002236.1.60601.60900",0,0,-1.54844628409023,0,0
"CM002236.1.90601.90900",0,0,-3.64801080172165,-2.71953534074203,0
"CM002236.1.90901.91200",0,0,-3.45750846467458,-2.88775596231939,0
"CM002236.1.91201.91500",0,0,-3.70508313288754,-2.76858542621929,0
"CM002236.1.91501.91800",0,0,-3.91382017862742,-3.22702421097586,0
"CM002236.1.91801.92100",0,0,-3.61355203546257,-2.72951693103938,0
