1	2	3	4
CM002236.1	116	1506	1391
CM002236.1	21107	34155	13049
CM002236.1	62888	88956	26069
CM002236.1	199436	208596	9161
CM002236.1	266956	289047	22092
CM002236.1	384034	385419	1386
CM002236.1	670253	696698	26446
CM002236.1	872359	924886	52528
CM002236.1	1182071	1186284	4214
CM002236.1	1219260	1229426	10167
CM002236.1	1337250	1349578	12329
CM002236.1	1944930	1947329	2400
CM002236.1	2273324	2342656	69333
CM002236.1	2381666	2404561	22896
CM002236.1	3062163	3065457	3295
CM002236.1	3475164	3495531	20368
CM002236.1	3553035	3566012	12978
CM002236.1	3579499	3580366	868
CM002236.1	3595665	3638049	42385
CM002236.1	3641488	3664339	22852
CM002236.1	3680052	3698061	18010
CM002236.1	3700504	3708859	8356
CM002236.1	3714344	3729948	15605
CM002236.1	3735049	3986806	251758
CM002236.1	4005378	4007317	1940
CM002236.1	4009625	4040555	30931
CM002236.1	4043247	4098787	55541
CM002236.1	4162518	4166946	4429
CM002236.1	4169922	4195388	25467
CM002236.1	4212888	4214459	1572
CM002236.1	4314454	4355501	41048
CM002236.1	4375585	4376986	1402
CM002236.1	4531342	4544024	12683
CM002236.1	4878618	4883024	4407
CM002236.1	4923531	4925207	1677
CM002236.1	5006462	5010837	4376
CM002236.1	5078130	5082568	4439
CM002236.1	5263212	5265025	1814
CM002236.1	5317547	5339862	22316
CM002236.1	5394878	5402185	7308
CM002236.1	5482253	5499371	17119
CM002236.1	5529969	5545309	15341
CM002236.1	5734816	5773059	38244
CM002236.1	5805246	5808683	3438
CM002236.1	5919937	5944488	24552
CM002236.1	5955333	5976726	21394
CM002236.1	6197316	6200109	2794
CM002236.1	6249443	6262619	13177
CM002236.1	6298259	6333297	35039
CM002236.1	6383515	6458348	74834
CM002236.1	6470053	6474492	4440
CM002236.1	6501672	6505080	3409
CM002236.1	6520962	6528865	7904
CM002236.1	6998182	7002654	4473
CM002236.1	7423760	7427063	3304
CM002236.1	7506922	7511445	4524
CM002236.1	7711169	7712550	1382
CM002236.1	8227127	8267388	40262
CM002236.1	8279197	8293195	13999
CM002236.1	8893825	8895124	1300
CM002236.1	8992318	9000136	7819
CM002236.1	9163644	9175092	11449
CM002236.1	9286867	9337693	50827
CM002236.1	9358614	9359909	1296
CM002236.1	9406998	9407876	879
CM002236.1	9481668	9515198	33531
CM002236.1	9697694	9700758	3065
CM002236.1	9705812	9758528	52717
CM002236.1	9772577	9798762	26186
CM002237.1	109	9058	8950
CM002237.1	13158	16184	3027
CM002237.1	108894	147310	38417
CM002237.1	390777	400796	10020
CM002237.1	516581	518055	1475
CM002237.1	572589	577286	4698
CM002237.1	684772	688212	3441
CM002237.1	700092	708233	8142
CM002237.1	874369	883144	8776
CM002237.1	1016293	1020793	4501
CM002237.1	1066437	1076837	10401
CM002237.1	1093778	1151572	57795
CM002237.1	1155135	1365803	210669
CM002237.1	1437173	1442895	5723
CM002237.1	1720640	1734452	13813
CM002237.1	1989342	2001916	12575
CM002237.1	2113416	2170831	57416
CM002237.1	2231515	2233686	2172
CM002237.1	2848609	2853271	4663
CM002237.1	2902703	2921269	18567
CM002237.1	3245657	3247961	2305
CM002237.1	3302949	3321276	18328
CM002237.1	3366501	3387565	21065
CM002237.1	3493396	3502792	9397
CM002237.1	3602091	3712617	110527
CM002237.1	3888926	3936585	47660
CM002237.1	4098558	4121246	22689
CM002237.1	4138820	4145960	7141
CM002237.1	4152949	4158966	6018
CM002237.1	4205932	4209329	3398
CM002237.1	4241433	4262533	21101
CM002237.1	4344935	4359646	14712
CM002237.1	4470544	4478421	7878
CM002238.1	120	9229	9110
CM002238.1	61779	77874	16096
CM002238.1	133135	147847	14713
CM002238.1	180797	188937	8141
CM002238.1	267476	268501	1026
CM002238.1	301936	327722	25787
CM002238.1	346917	380827	33911
CM002238.1	430681	448382	17702
CM002238.1	474612	486418	11807
CM002238.1	563969	568151	4183
CM002238.1	683451	965584	282134
CM002238.1	1042192	1059329	17138
CM002238.1	1252509	1274356	21848
CM002238.1	1340134	1346053	5920
CM002238.1	1386812	1390115	3304
CM002238.1	1702543	1749737	47195
CM002238.1	1814687	1816939	2253
CM002238.1	2185275	2236792	51518
CM002238.1	2288578	2296278	7701
CM002238.1	2423885	2444640	20756
CM002238.1	2759898	2763337	3440
CM002238.1	2821461	2833295	11835
CM002238.1	2881160	2890843	9684
CM002238.1	2965798	2973734	7937
CM002238.1	3518505	3521751	3247
CM002238.1	3555696	3560161	4466
CM002238.1	4073273	4095634	22362
CM002238.1	4255542	4281942	26401
CM002238.1	4528036	4532461	4426
CM002238.1	4578701	4596549	17849
CM002238.1	4828678	4857070	28393
CM002238.1	5045818	5050250	4433
CM002238.1	5062298	5088202	25905
CM002238.1	5207321	5214845	7525
CM002238.1	5272134	5274723	2590
CM002239.1	523	1427	905
CM002239.1	36672	47145	10474
CM002239.1	113767	141487	27721
CM002239.1	363540	373496	9957
CM002239.1	443129	455328	12200
CM002239.1	874373	1088351	213979
CM002239.1	1107370	1111778	4409
CM002239.1	1125433	1173477	48045
CM002239.1	1273055	1274988	1934
CM002239.1	1417947	1420223	2277
CM002239.1	1443238	1484535	41298
CM002239.1	1697347	1699651	2305
CM002239.1	1880904	1932306	51403
CM002239.1	2018310	2051071	32762
CM002239.1	2336358	2379494	43137
CM002239.1	2388649	2393083	4435
CM002239.1	2545014	2547253	2240
CM002239.1	2608371	2623044	14674
CM002239.1	2660768	2664949	4182
CM002239.1	2710706	2714065	3360
CM002239.1	2718185	2737758	19574
CM002239.1	2997079	2999586	2508
CM002239.1	3052376	3083276	30901
CM002239.1	3743266	3769919	26654
CM002239.1	4031485	4063712	32228
CM002239.1	4168059	4180105	12047
CM002239.1	4230632	4241027	10396
CM002239.1	4250213	4301597	51385
CM002239.1	4387233	4389389	2157
CM002239.1	4448309	4459467	11159
CM002239.1	4481585	4484180	2596
CM002239.1	4624062	4660176	36115
CM002239.1	4769060	4772509	3450
CM002239.1	5017508	5038357	20850
CM002239.1	5209627	5249258	39632
CM002239.1	5308181	5332005	23825
CM002239.1	5814495	5815362	868
CM002239.1	5847754	5848827	1074
CM002239.1	5852967	5865532	12566
CM002239.1	5871826	5878581	6756
CM002239.1	5888113	5889115	1003
CM002239.1	5914236	5928330	14095
CM002239.1	5930337	5937378	7042
CM002239.1	5950991	6000652	49662
CM002240.1	68	18857	18790
CM002240.1	146674	147698	1025
CM002240.1	177078	192301	15224
CM002240.1	195488	196549	1062
CM002240.1	254691	266547	11857
CM002240.1	493005	508416	15412
CM002240.1	580642	614705	34064
CM002240.1	781188	796694	15507
CM002240.1	851293	855764	4472
CM002240.1	891816	1218650	326835
CM002240.1	1224189	1228056	3868
CM002240.1	1301048	1311671	10624
CM002240.1	1428706	1433308	4603
CM002240.1	1537432	1538427	996
CM002240.1	1689449	1701965	12517
CM002240.1	1753051	1767548	14498
CM002240.1	1990077	1992402	2326
CM002240.1	2204706	2208198	3493
CM002240.1	2278253	2282287	4035
CM002240.1	2505834	2507009	1176
CM002240.1	2593863	2625763	31901
CM002240.1	2659149	2660600	1452
CM002240.1	2810962	2812146	1185
CM002240.1	3432436	3447620	15185
CM002240.1	3851110	3853019	1910
CM002240.1	3907121	3931986	24866
CM002240.1	4033355	4065426	32072
CM002240.1	4093065	4095223	2159
CM002240.1	4159570	4170743	11174
CM002240.1	4235231	4249177	13947
CM002240.1	4441600	4472592	30993
CM002240.1	4506885	4519846	12962
CM002240.1	4783324	4800180	16857
CM002240.1	5227454	5237294	9841
CM002240.1	5406637	5420567	13931
CM002240.1	5656086	5697377	41292
CM002240.1	5699864	5713355	13492
CM002240.1	5850528	5851629	1102
CM002240.1	5891228	5916764	25537
CM002240.1	5980601	6021789	41189
CM002240.1	6067364	6081480	14117
CM002240.1	6104673	6112627	7955
CM002240.1	6139929	6151873	11945
CM002240.1	6178594	6190987	12394
CM002240.1	6389142	6391916	2775
CM002240.1	6434511	6436156	1646
CM002241.1	100	1571	1472
CM002241.1	95758	99475	3718
CM002241.1	105206	120370	15165
CM002241.1	269164	275110	5947
CM002241.1	309807	311023	1217
CM002241.1	314527	320449	5923
CM002241.1	361394	391321	29928
CM002241.1	432983	444641	11659
CM002241.1	501645	505982	4338
CM002241.1	556242	560629	4388
CM002241.1	1069716	1088204	18489
CM002241.1	1171976	1192980	21005
CM002241.1	1329704	1339495	9792
CM002241.1	1756260	1760497	4238
CM002241.1	1766128	1777000	10873
CM002241.1	1794967	1823749	28783
CM002241.1	1843445	1865590	22146
CM002241.1	1867941	1874330	6390
CM002241.1	1905045	1908439	3395
CM002241.1	1935252	1958417	23166
CM002241.1	1983550	1990871	7322
CM002241.1	2384314	2387565	3252
CM002241.1	2420065	2423395	3331
CM002241.1	2724644	2747235	22592
CM002241.1	2783927	3080407	296481
CM002241.1	3237260	3240581	3322
CM002241.1	3334989	3339297	4309
CM002241.1	3407285	3420714	13430
CM002241.1	3489198	3492901	3704
CM002241.1	3507295	3537886	30592
CM002241.1	3630888	3645842	14955
CM002241.1	3781934	3794166	12233
CM002241.1	4011040	4020036	8997
CM002241.1	4067401	4070741	3341
CM002241.1	4162598	4218251	55654
CM002242.1	122	1247	1126
CM002242.1	78858	83271	4414
CM002242.1	135865	152701	16837
CM002242.1	185625	193005	7381
CM002242.1	259654	264140	4487
CM002242.1	274134	292635	18502
CM002242.1	326572	352215	25644
CM002242.1	502304	525696	23393
CM002242.1	610245	623862	13618
CM002242.1	703025	704112	1088
CM002242.1	810932	818143	7212
CM002242.1	890790	909363	18574
CM002242.1	1007610	1028043	20434
CM002242.1	1039860	1079154	39295
CM002242.1	1117457	1118616	1160
CM002242.1	1120903	1149641	28739
CM002242.1	1162042	1166482	4441
CM002242.1	1268706	1280174	11469
CM002242.1	1318662	1344174	25513
CM002242.1	1434031	1444994	10964
CM002242.1	1767347	1769632	2286
CM002242.1	1823509	1835293	11785
CM002242.1	1877521	1881966	4446
CM002242.1	2066484	2069617	3134
CM002242.1	2075815	2105170	29356
CM002242.1	2123471	2124777	1307
CM002242.1	2134633	2483127	348495
CM002242.1	2495048	2506511	11464
CM002242.1	2523987	2535966	11980
CM002242.1	2576189	2578954	2766
CM002242.1	2796868	2811058	14191
CM002242.1	2920307	2931706	11400
CM002242.1	3252223	3253733	1511
CM002242.1	3368206	3374625	6420
CM002242.1	3406176	3440452	34277
CM002242.1	3445990	3448738	2749
CM002242.1	3677963	3703629	25667
CM002242.1	4203492	4216332	12841
CM002242.1	4235923	4255184	19262
KC683708.1	1	64840	64840
KI440765.1	70	192218	192149
KI440766.1	96	142425	142330
KI440767.1	23	125343	125321
KI440768.1	12	31651	31640
KI440769.1	228	19568	19341
KI440770.1	33	13392	13360
KI440771.1	58	11330	11273
KI440772.1	77	9240	9164
KI440773.1	46	8892	8847
KI440774.1	78	6687	6610
KI440775.1	38	6127	6090
KI440776.1	33	4599	4567
KI440777.1	6	1644	1639
NC_072843.1	1071	2889	1819
NC_072843.1	5838	10759	4922
NC_072843.1	13707	18628	4922
NC_072843.1	21579	26498	4920
