"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",3.47400202366171,5.38230490015249e-34,9.30805821650082e-34,4.05152326519599,3.17084836474591e-42,2.1276392527445e-41,3.84054202069526,2.4420014374504e-39,1.0370778256514e-38,-0.54344160372377,0.0651354110109682,0.0801942399786416,-0.663269819592545,0.0286836977671543,0.130387185568883
"CM002236.1",2677,3477,".","+",3.24416228315115,3.32376013871682e-31,5.16259965990506e-31,3.7800768101361,7.29399205781358e-39,2.93069980287001e-38,3.59723870041464,2.27524335509642e-36,7.10087577334742e-36,-0.627264948162263,0.0328218332222568,0.0419494287469226,-0.629494943647613,0.0358476880836072,0.136623812335333
"CM002236.1",15429,16229,".","+",3.12317095051126,1.1080071700004e-28,1.62330308093945e-28,4.19829366446306,3.97899483460005e-44,4.04531141517671e-43,3.38231379565047,2.80791446604057e-32,6.6812432862171e-32,-0.50156980979218,0.0862505247781486,0.104090111737658,-0.363899472857746,0.226856758376106,0.336771869182229
"CM002236.1",16940,17740,".","+",1.20956371488947,5.82278819519538e-07,6.06691130275792e-07,1.81889092774152,2.2206911484658e-13,2.99213606550311e-13,0.742118586200975,0.00236591052663031,0.00279494007635376,-1.57181912218947,5.40799389437318e-08,9.37665091246617e-08,-0.767350971948028,0.00590199298808137,0.10514563326033
"CM002236.1",34480,35280,".","+",2.30209518403596,7.63756579505994e-19,9.13512771565993e-19,3.1335576936438,1.84725757181862e-30,3.81387640212399e-30,1.32002765860362,1.91852665902832e-07,2.43351869226465e-07,-0.986471230543776,0.000596317843517566,0.00089115651002291,-0.607108468299035,0.0358810111588566,0.136623812335333
"CM002236.1",42332,43132,".","-",3.78431291035862,7.18159927839127e-40,1.83455569977592e-39,3.02395425876457,1.13215305117821e-27,2.12794032868509e-27,2.88369363157907,5.95773064385517e-26,1.10737874294372e-25,-0.975888272375242,0.00101339716748404,0.0014977742277132,0.422762899173647,0.158447768156307,0.264473762270851
"CM002236.1",44251,45051,".","-",3.42556625009141,1.33608932680469e-35,2.46295587441195e-35,2.93614325430189,1.77803608146984e-27,3.31406169629517e-27,2.80521719927154,8.8739785241404e-26,1.64487281483376e-25,-0.0997269576262718,0.72134593710341,0.744650959686751,0.0334354977546721,0.909752982779639,0.922121225747942
"CM002236.1",47854,48654,".","-",0.793730737379307,0.00078152885495548,0.00079335228695178,0.748285165096656,0.00161439031668964,0.00182673845278035,0.418066946469422,0.0790387239098139,0.0868003007258349,-1.24283265275383,6.55033075539863e-06,1.0694092303826e-05,-0.816474263736415,0.00315492220406865,0.100807276139527
"CM002236.1",58645,59445,".","+",2.53768296591087,9.12528416945615e-23,1.16187204510533e-22,2.78023358265527,5.55966134174284e-26,9.89531236156352e-26,2.67214654314536,1.78261245265733e-24,3.17276646083042e-24,-0.254320166864874,0.358356394946847,0.392262872772161,0.443420059560349,0.124095299250388,0.233243545649889
"CM002236.1",90823,91623,".","+",3.55402895775327,1.02741580846036e-35,1.90968423123796e-35,3.67354374031517,6.08132291902132e-37,1.89793845519224e-36,3.4905424362165,1.67803814159335e-34,4.73093946642495e-34,-0.0910667392166105,0.749477361847149,0.772502780029858,0.591369250480704,0.0510711171632876,0.157920366896618
